,Swear
552,gaywad
553,gooch
554,gook
555,gringo
556,guido
557,hard on
558,heeb
559,hoe
560,jackass
561,jagoff
562,jerkass
563,kooch
564,kootch
565,kraut
566,kunt
567,kyke
568,lameass
569,lardass
570,lesbian
571,lesbo
572,lezzie
573,mcfagget
574,mick
575,minge
576,munging
577,nigaboo
578,niglet
579,nut sack
580,panooch
581,pollock
582,poonani
583,poonany
584,punanny
585,punta
586,puto
587,queer
588,renob
589,ruski
590,shitbag
591,shitcunt
592,shitface
593,shithole
594,shiz
595,shiznit
596,slutbag
597,smeg
598,spick
599,spook
600,suckass
601,tard
602,twatlips
603,twats
604,vag
605,vajayjay
606,vjayjay
607,wankjob
608,whorebag
609,wop
610,fuck you
611,piss off
612,crikey
613,rubbish
614,jerk
615,knob end
616,lmao
617,omg
618,wtf
619,bint
620,ginger
621,git
622,minger
623,munter
624,sod off
625,chinky
626,choc ice
627,gippo
628,golliwog
629,hun
630,iap
631,jock
632,pikey
633,polack
634,sambo
635,slope
636,spade
637,taff
638,wog
639,beaver
640,clunge
641,flaps
642,gash
643,punani
644,bender
645,bum boy
646,bumclat
647,bummer
648,pansy
649,cretin
650,cripple
651,div
652,looney
653,midget
654,mong
655,nutter
656,psycho
657,schizo
658,veqtable
659,fenian
660,kafir
661,prod
662,taig
663,yid
664,nonce
665,rapey
666,slag
667,tart
668,old bag
669,buncombe
670,feist
671,fice
672,assfaces
673,bastards
674,faggots
675,fuc
676,fuck   
677,fuckedup
678,fuckme 
679,fukkers
680,fuq
681,god
682,jiz 
683,jizm 
684,kwif   
685,LEN
686,pisses 
687,pissin 
688,pissoff 
689,queaf   
690,shittier
691,slope   
692,smartass
693,tities
694,wiseass
695,boong
696,coonnass
697,darn
698,Breeder
699,Cocklump
700,Dumbcunt
701,Fuck off
702,Sandler
703,cockeye
704,crotte
705,cus
706,foah
707,fucktwat
708,jaggi
709,kunja
710,pust
711,sanger
712,seks
713,zubb
714,zibbi
